V0056Y: Date Admitted - Year: values,V0056Y: Date Admitted - Year:percentages,V0062: Controlling Offense: values,V0062: Controlling Offense:percentages,V0064: Offense 1: values,V0064: Offense 1:percentages,V0065: Offense 2: values,V0065: Offense 2:percentages,V0066: Offense 3: values,V0066: Offense 3:percentages,V0067: Offense 4: values,V0067: Offense 4:percentages,V0068: Offense 5: values,V0068: Offense 5:percentages,V0069: Violent Type: values,V0069: Violent Type:percentages,V0104: Year Arrested: values,V0104: Year Arrested:percentages,V0107: Year Admitted Prison: values,V0107: Year Admitted Prison:percentages,V0405: Minimum Years Sentenced: values,V0405: Minimum Years Sentenced:percentages,V0406: Maximum Years Sentenced: values,V0406: Maximum Years Sentenced:percentages,V0407: Minimum Months Sentenced: values,V0407: Minimum Months Sentenced:percentages,V0408: Maximum Months Sentenced: values,V0408: Maximum Months Sentenced:percentages,V0409: Minimum Days Sentenced: values,V0409: Minimum Days Sentenced:percentages,V0410: Maximum Days Sentenced: values,V0410: Maximum Days Sentenced:percentages,V0459: Mandatory Drug Testing: values,V0459: Mandatory Drug Testing:percentages,V0460: Mandatory Treatment: values,V0460: Mandatory Treatment:percentages,V0472: Year Expected ReleaseAny Offense Possesion: values,V0472: Year Expected ReleaseAny Offense Possesion:percentages,V0675: Possession with Intent to Distribute: values,V0675: Possession with Intent to Distribute:percentages,V0676: Involved Marijuana: values,V0676: Involved Marijuana:percentages,V0677: Involved Cocaine: values,V0677: Involved Cocaine:percentages,V0678: Involved Crack: values,V0678: Involved Crack:percentages,V0679: Involved Heroin: values,V0679: Involved Heroin:percentages,V0680: Involved PCP: values,V0680: Involved PCP:percentages,V0681: Involved Ecstacy: values,V0681: Involved Ecstacy:percentages,V0682: Involved MDMA: values,V0682: Involved MDMA:percentages,V0683: Involved Hallucinogens: values,V0683: Involved Hallucinogens:percentages,V0684: Involved Meth: values,V0684: Involved Meth:percentages,V0685: Involved Prescription: values,V0685: Involved Prescription:percentages,V0686: Involved Other Drugs: values,V0686: Involved Other Drugs:percentages,V0721: Amount of Marijuana - Units: values,V0721: Amount of Marijuana - Units:percentages,V0722: Amount of Marijuana: values,V0722: Amount of Marijuana:percentages,V0761: Importing Drugs: values,V0761: Importing Drugs:percentages,V0762: Manufacturing/Growing: values,V0762: Manufacturing/Growing:percentages,V0763: Laundering Drug Money: values,V0763: Laundering Drug Money:percentages,V0764: Distributing to Dealers: values,V0764: Distributing to Dealers:percentages,V0765: Selling Drugs: values,V0765: Selling Drugs:percentages,V0766: Using/Possessing Drugs: values,V0766: Using/Possessing Drugs:percentages,V0767: Part of Drug Organizatin: values,V0767: Part of Drug Organizatin:percentages,V0772: State: values,V0772: State:percentages,V0788: Weapon Carried: values,V0788: Weapon Carried:percentages,V0899: Age at First Arrest: values,V0899: Age at First Arrest:percentages,V0906: Been Arrested for Drugs: values,V0906: Been Arrested for Drugs:percentages,V0918: First Admitted to State/Federal: values,V0918: First Admitted to State/Federal:percentages,V0917: First Admission to Prison - Year: values,V0917: First Admission to Prison - Year:percentages,V0935: Highest Education: values,V0935: Highest Education:percentages,V0942: ADD/ADHD: values,V0942: ADD/ADHD:percentages,V1185: Diagnosed Manic/Bipolar: values,V1185: Diagnosed Manic/Bipolar:percentages,V1186: Diagnosed Depressive Disorder: values,V1186: Diagnosed Depressive Disorder:percentages,V1187: Diagnosed Schizophrenia/Psychotic: values,V1187: Diagnosed Schizophrenia/Psychotic:percentages,V1188: Diagnosed PTSD: values,V1188: Diagnosed PTSD:percentages,V1189: Diagnosed Anxiety: values,V1189: Diagnosed Anxiety:percentages,V1190: Diagnosed Personality Disorder: values,V1190: Diagnosed Personality Disorder:percentages,V1191: Diagnosed Other: values,V1191: Diagnosed Other:percentages,V1211: Sex Assigned at Birth: values,V1211: Sex Assigned at Birth:percentages,V1212: Self Described Sex: values,V1212: Self Described Sex:percentages,V1213: Sexual Orientation: values,V1213: Sexual Orientation:percentages,V1264: Age at First Drink: values,V1264: Age at First Drink:percentages,V1267: Drinking Alcohol at Time of Offense: values,V1267: Drinking Alcohol at Time of Offense:percentages,V1268: Binge Drinking: values,V1268: Binge Drinking:percentages,V1291: Used Marijuana: values,V1291: Used Marijuana:percentages,V1292: Used Cocaine: values,V1292: Used Cocaine:percentages,V1293: Used Crack: values,V1293: Used Crack:percentages,V1294: Used Heroin: values,V1294: Used Heroin:percentages,V1295: Used PCP: values,V1295: Used PCP:percentages,V1296: Used Ecstacy/Molly: values,V1296: Used Ecstacy/Molly:percentages,V1297: Used Hallucinogens: values,V1297: Used Hallucinogens:percentages,V1298: Used Meth: values,V1298: Used Meth:percentages,V1299: Used Inhalents: values,V1299: Used Inhalents:percentages,RV0001: Current Age: values,RV0001: Current Age:percentages,RV0003: Race: values,RV0003: Race:percentages,RV0005: Sex: values,RV0005: Sex:percentages,RV0036: Controlling Offense Category - 13: values,RV0036: Controlling Offense Category - 13:percentages,RV0037: Controlling Offense Category - 5: values,RV0037: Controlling Offense Category - 5:percentages
1993,0.00439453125,1,0.435546875,1,0.4228515625, ,0.68115234375, ,0.88623046875, ,0.9619140625, ,0.9873046875,2,0.1357421875, ,0.99755859375, ,0.99755859375, ,0.90283203125, ,0.90283203125, ,0.90283203125, ,0.90283203125, ,0.90283203125, ,0.90283203125,2,0.81298828125,2,0.7783203125, ,0.2470703125, ,0.79736328125, ,0.82958984375,99.0,0.9462890625,99.0,0.9189453125,99.0,0.94921875,99.0,0.94140625,99.0,0.970703125,99.0,0.96875,99.0,0.97119140625,99.0,0.91259765625,99.0,0.9560546875,99.0,0.96923828125, ,0.94677734375, ,0.94873046875, ,0.7978515625, ,0.7978515625, ,0.7978515625, ,0.7978515625, ,0.7978515625, ,0.7978515625, ,0.7978515625,GA,0.0458984375,1.0,0.1748046875,22,0.025390625,2,0.48193359375, ,0.98681640625, ,0.5751953125,12,0.2490234375,2,0.7578125,2,0.7490234375,2,0.7001953125,2,0.9111328125,2,0.8212890625,2,0.7431640625,2,0.87744140625,2,0.97021484375,1,0.7412109375,1,0.740234375,2,0.91259765625,7,0.01171875,2,0.60595703125,2,0.19091796875,1,0.83056640625,1,0.4970703125,2,0.2548828125,2,0.7939453125,2,0.88134765625,2,0.7021484375,1,0.2529296875,1,0.2802734375,2,0.88623046875,51,0.0185546875,1.0,0.33740234375,1.0,0.74609375,1,0.13232421875,1,0.44384765625
2005,0.0166015625,2,0.15380859375,2,0.15185546875,4,0.05029296875,4,0.0146484375,2,0.00927734375,2,0.0029296875, ,0.59033203125,2015,0.00048828125,2015,0.00048828125,1,0.0126953125,1,0.00048828125,12,0.00048828125,36,0.0009765625,0,0.09619140625,0,0.095703125,-1,0.0126953125,1,0.1962890625,2018,0.08984375,1,0.169921875,1,0.1142578125,1.0,0.02490234375,-9.0,0.0283203125,-9.0,0.0283203125,-9.0,0.0283203125,-9.0,0.0283203125,-9.0,0.0283203125,-9.0,0.0283203125,8.0,0.05859375,9.0,0.0146484375,-9.0,0.0283203125,1,0.00048828125,1,0.00439453125,2,0.185546875,1,0.01953125,2,0.1904296875,1,0.06591796875,1,0.1123046875,1,0.14501953125,2,0.18115234375,SC,0.01904296875,99.0,0.82470703125,17,0.08447265625, ,0.20654296875,19,0.00048828125,1992,0.009765625,8,0.041015625,1,0.23486328125,1,0.2421875,1,0.291015625,1,0.07958984375,1,0.16943359375,1,0.248046875,1,0.11328125,1,0.02197265625,2,0.251953125,2,0.25048828125,3,0.04736328125,10,0.029296875,1,0.287109375, ,0.62890625,2,0.16064453125,2,0.494140625, ,0.50244140625,1,0.19677734375,1,0.109375,1,0.28857421875,2,0.73779296875,2,0.7109375,1,0.10498046875,29,0.0302734375,2.0,0.2998046875,2.0,0.25341796875,6,0.0576171875,2,0.1640625
999999,0.037109375,3,0.2041015625,4,0.2080078125,2,0.0654296875,2,0.029296875,1,0.0107421875,1,0.0029296875,3,0.2294921875,2006,0.0,2016,0.0009765625,10,0.00439453125,15,0.00634765625,0,0.0771484375,0,0.0771484375,-1,0.0,30,0.0,1,0.15771484375, ,0.015625,2016,0.18310546875,2,0.03173828125,2,0.0537109375,-9.0,0.0283203125,2.0,0.0517578125,3.0,0.02197265625,4.0,0.02978515625,5.0,0.00048828125,6.0,0.00244140625,7.0,0.0,-9.0,0.0283203125,-9.0,0.0283203125,10.0,0.00146484375,-9,0.0283203125,-9,0.0283203125,1,0.013671875,2,0.18017578125,1,0.00927734375,2,0.13330078125,2,0.0869140625,2,0.05517578125,1,0.0185546875,IN,0.02197265625,-55.0,0.0,-1,0.009765625,1,0.30859375,22,0.0,2013,0.01025390625,16,0.03662109375,-1,0.00244140625, ,0.00537109375, ,0.00537109375,-1,0.001953125, ,0.00537109375, ,0.00537109375, ,0.00537109375, ,0.00537109375, ,0.005859375,4,0.00048828125,1,0.02294921875,-1,0.00732421875, ,0.1015625,1,0.1787109375, ,0.0068359375, ,0.0068359375,1,0.24169921875, ,0.0068359375, ,0.0068359375, ,0.0068359375, ,0.0068359375, ,0.0068359375, ,0.0068359375,43,0.02294921875,3.0,0.216796875,-55.0,0.0,8,0.16357421875,3,0.21240234375
2016,0.1630859375,4,0.142578125,5,0.14453125,1,0.109375,5,0.03173828125,5,0.01171875,4,0.00146484375,1,0.04296875,2016,0.00048828125,2013,0.0,6,0.00341796875,10,0.00732421875,9,0.0009765625,12,0.0009765625,1,0.0,1,0.0, ,0.015625,-1,0.00830078125,2019,0.06005859375,-55,0.0,-1,0.00048828125,-55.0,0.0,-55.0,0.0,-55.0,0.0,-55.0,0.0,-55.0,0.0,-55.0,0.0,-55.0,0.0,-55.0,0.0,-55.0,0.0,-55.0,0.0,2,0.00537109375,6,0.0,-2,0.0009765625,-2,0.0009765625,-2,0.0009765625,-2,0.0009765625,-1,0.00048828125,-2,0.0009765625,-2,0.0009765625,CA,0.0693359375,,,18,0.10595703125,-1,0.0009765625,-2,0.0009765625,2004,0.01513671875,11,0.1611328125, ,0.00341796875,-2,0.00048828125,-1,0.001953125, ,0.00537109375,-1,0.001953125,-2,0.00048828125,-1,0.001953125,-2,0.00048828125,-2,0.0, ,0.005859375,5,0.00537109375,18,0.07275390625,-1,0.00244140625,-1,0.0,-1,0.0,-1,0.0,-1,0.0,-1,0.0,-1,0.00048828125,-1,0.0,-1,0.0,-1,0.0,-1,0.0,45,0.02197265625,6.0,0.10888671875,,,4,0.09521484375,4,0.15869140625
2010,0.03515625, ,0.0576171875, ,0.06494140625,5,0.08837890625,1,0.03564453125,4,0.00439453125,5,0.00390625,-55,0.0,2014,0.0,2014,0.0,21,0.00048828125,5,0.00732421875,6,0.00634765625,3,0.00048828125,6,0.0,-1,0.0,-2,0.0,-2,0.0,2017,0.16845703125,,,-2,0.00048828125,,,,,,,,,,,,,,,,,,,,,4,0.00439453125,5,0.0009765625,-1,0.00048828125,-1,0.00048828125,-1,0.00048828125,-1,0.00048828125,-2,0.00146484375,-1,0.0,-1,0.00048828125,OH,0.0419921875,,,40,0.0068359375,-2,0.0009765625,-1,0.0029296875,1983,0.0048828125,13,0.06982421875,-2,0.0,-1,0.001953125,-2,0.00048828125,-2,0.00048828125,-2,0.00048828125,-1,0.00146484375,-2,0.00048828125,-1,0.0009765625,-1,0.0,3,0.0009765625, ,0.005859375,16,0.115234375,-2,0.00146484375,-2,0.0,-2,0.0009765625,-2,0.0009765625,-2,0.0,-2,0.0009765625,-2,0.0009765625,-2,0.0009765625,-2,0.0009765625,-2,0.0009765625,-2,0.0009765625,31,0.03076171875,4.0,0.01416015625,,,7,0.10595703125,98,0.01025390625
2015,0.21728515625,5,0.0048828125,6,0.005859375,6,0.00439453125,6,0.0009765625,6,0.00048828125,6,0.0,,,2001,0.0,2012,0.0,19,0.00048828125,42,0.0,19,0.00048828125,6,0.00439453125,90,0.0,120,0.0,-55,0.0,-55,0.0,2023,0.0205078125,,,-55,0.0,,,,,,,,,,,,,,,,,,,,,3,0.001953125,4,0.0009765625,-55,0.0,-55,0.0,-55,0.0,-55,0.0,-55,0.0,-55,0.0,-55,0.0,NM,0.0078125,,,14,0.06689453125,-55,0.0,16,0.0,1997,0.01220703125,14,0.078125,-55,0.0,-55,0.0,-55,0.0,-55,0.0,-55,0.0,-55,0.0,-55,0.0,-55,0.0,-55,0.0,-2,0.0,-2,0.00048828125,17,0.0673828125,-55,0.0,-55,0.0,-55,0.0,-55,0.0,-55,0.0,-55,0.0,-55,0.0,-55,0.0,-55,0.0,-55,0.0,-55,0.0,42,0.0234375,9.0,0.01220703125,,,3,0.10400390625,5,0.00537109375
2014,0.12548828125,-55,0.0,-55,0.0,-55,0.0,-55,0.0,-55,0.0,-55,0.0,,,2013,0.0,2006,0.0,0,0.009765625,997,0.0146484375,3,0.00048828125,30,0.0,8,0.0,2,0.0,,,,,2046,0.00048828125,,,,,,,,,,,,,,,,,,,,,,,,,5,0.00732421875,1000,0.00048828125,,,,,,,,,,,,,,,NC,0.03125,,,12,0.0517578125,,,18,0.0009765625,2008,0.01708984375,10,0.14501953125,,,,,,,,,,,,,,,,,,,-1,0.0,4,0.00244140625,8,0.02001953125,,,,,,,,,,,,,,,,,,,,,,,20,0.00830078125,5.0,0.0087890625,,,2,0.08642578125, ,0.00439453125
2008,0.02490234375,,,,,,,,,,,,,,,2010,0.0,2005,0.0,4,0.0048828125,4,0.0048828125,18,0.0009765625,48,0.00048828125,30,0.0,270,0.0,,,,,2039,0.00146484375,,,,,,,,,,,,,,,,,,,,,,,,,-1,0.00146484375,23,0.0,,,,,,,,,,,,,,,TX,0.1103515625,,,38,0.005859375,,,20,0.0009765625,2000,0.013671875,7,0.01904296875,,,,,,,,,,,,,,,,,,,-55,0.0,-1,0.00048828125,21,0.03173828125,,,,,,,,,,,,,,,,,,,,,,,28,0.033203125,8.0,0.0,,,12,0.1123046875,-55,0.0
2011,0.04443359375,,,,,,,,,,,,,,,2003,0.0,-55,0.0,5,0.00634765625,7,0.0029296875,10,0.00048828125,18,0.0,2,0.0,18,0.0,,,,,2025,0.01416015625,,,,,,,,,,,,,,,,,,,,,,,,,-2,0.0,180,0.0,,,,,,,,,,,,,,,FL,0.0673828125,,,13,0.06787109375,,,25,0.0,2003,0.0146484375,15,0.01953125,,,,,,,,,,,,,,,,,,,,,-55,0.0,13,0.091796875,,,,,,,,,,,,,,,,,,,,,,,24,0.025390625,-55.0,0.0,,,9,0.0390625,,
2013,0.08251953125,,,,,,,,,,,,,,,2009,0.0,,,9,0.0009765625,0,0.00732421875,2,0.00048828125,24,0.0,-55,0.0,15,0.0,,,,,2021,0.03369140625,,,,,,,,,,,,,,,,,,,,,,,,,6,0.00048828125,26,0.0,,,,,,,,,,,,,,,WA,0.01171875,,,16,0.07958984375,,,17,0.00048828125,2010,0.015625,6,0.013671875,,,,,,,,,,,,,,,,,,,,,,,15,0.11474609375,,,,,,,,,,,,,,,,,,,,,,,39,0.02685546875,,,,, ,0.0146484375,,
