year,count
1925,91669
1926,97991
1927,109346
1928,116390
1929,120496
1930,129453
1931,137082
1932,137997
1933,136810
1934,138316
1935,144180
1936,145038
1937,152741
1938,160285
1939,179818
1940,272955
1941,165439
1942,150384
1943,137220
1944,132456
1945,133649
1946,140079
1947,151304
1948,155977
1949,163749
1950,252657
1951,165680
1952,168233
1953,173579
1954,182901
1955,185780
1956,189565
1957,195256
1958,205643
1959,208105
1960,332624
1961,220149
1962,218830
1963,217283
1964,214336
1965,210895
1966,199654
1967,194896
1968,187274
1969,197136
1970,325630
1971,198061
1972,196092
1973,204211
1974,218466
1975,240593
1976,262833
1977,276157
1978,452790
1979,301470
1980,479958
1981,353673
1982,395516
1983,642897
1984,677898
1985,737183
1986,796528
1987,856685
1988,947301
1989,1076460
1990,1145300
1991,1216091
1992,1290861
1993,1391878
1994,1503165
1995,1592066
1996,1656214
1997,1761413
1998,1848936
1999,1910024
2000,1955323
2001,1976457
2002,2045991
2003,2099662
2004,2147718
2005,2210395
2006,2270417
2007,2313025
2008,2333275
2009,2321008
2010,2301397
2011,2274448
2012,2256954
2013,2251611
2014,2252373
2015,2204247
2016,2198873
